"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","621","Validate Product Filtering by Price (Low to High)","firefox","2026-09-17","passed","2026-09-17","Product page validation","ProductPage.spec.js","",""
"","5369","Validate Adding Specific Products to Cart","chromium","2026-09-17","passed","2026-09-17","Product page validation","ProductPage.spec.js","",""
"","13092","Validate All Products displayed","firefox","2026-09-17","passed","2026-09-17","Product page validation","ProductPage.spec.js","",""
"","631","Validate Product Filtering by Name (A to Z)","webkit","2026-09-17","passed","2026-09-17","Product page validation","ProductPage.spec.js","",""
"","1700","Login Test","firefox","2026-09-17","passed","2026-09-17","","LoginTest.spec.js","",""
"","454","Validate Product Filtering by Name (A to Z)","chromium","2026-09-17","passed","2026-09-17","Product page validation","ProductPage.spec.js","",""
"","620","Validate Product Filtering by Price (High to Low)","firefox","2026-09-17","passed","2026-09-17","Product page validation","ProductPage.spec.js","",""
"","11969","Validate Adding Specific Products to Cart","firefox","2026-09-17","passed","2026-09-17","Product page validation","ProductPage.spec.js","",""
"","12569","Validate All Products displayed","chromium","2026-09-17","passed","2026-09-17","Product page validation","ProductPage.spec.js","",""
"","11787","Validate Adding Specific Products to Cart","webkit","2026-09-17","passed","2026-09-17","Product page validation","ProductPage.spec.js","",""
"","5903","Login Test","webkit","2026-09-17","passed","2026-09-17","","LoginTest.spec.js","",""
"","621","Validate Product Filtering by Name (Z to A)","firefox","2026-09-17","passed","2026-09-17","Product page validation","ProductPage.spec.js","",""
"","1327","Validate Logout Functionality","chromium","2026-09-17","passed","2026-09-17","Product page validation","ProductPage.spec.js","",""
"","646","Validate Product Filtering by Name (Z to A)","webkit","2026-09-17","passed","2026-09-17","Product page validation","ProductPage.spec.js","",""
"","622","Validate Product Filtering by Price (High to Low)","webkit","2026-09-17","passed","2026-09-17","Product page validation","ProductPage.spec.js","",""
"","13044","Validate All Products displayed","webkit","2026-09-17","passed","2026-09-17","Product page validation","ProductPage.spec.js","",""
"","411","Validate Product Filtering by Price (High to Low)","chromium","2026-09-17","passed","2026-09-17","Product page validation","ProductPage.spec.js","",""
"","1711","Validate Logout Functionality","firefox","2026-09-17","passed","2026-09-17","Product page validation","ProductPage.spec.js","",""
"","8002","Validate About Us & Navigate Back","webkit","2026-09-17","passed","2026-09-17","Product page validation","ProductPage.spec.js","",""
"","443","Validate Product Filtering by Price (Low to High)","chromium","2026-09-17","passed","2026-09-17","Product page validation","ProductPage.spec.js","",""
"","617","Validate Product Filtering by Price (Low to High)","webkit","2026-09-17","passed","2026-09-17","Product page validation","ProductPage.spec.js","",""
"","7449","Validate About Us & Navigate Back","chromium","2026-09-17","passed","2026-09-17","Product page validation","ProductPage.spec.js","",""
"","8081","Validate About Us & Navigate Back","firefox","2026-09-17","passed","2026-09-17","Product page validation","ProductPage.spec.js","",""
"","405","Validate Product Filtering by Name (Z to A)","chromium","2026-09-17","passed","2026-09-17","Product page validation","ProductPage.spec.js","",""
"","1604","Validate Product Filtering by Name (A to Z)","firefox","2026-09-17","passed","2026-09-17","Product page validation","ProductPage.spec.js","",""
"","526","Login Test","chromium","2026-09-17","passed","2026-09-17","","LoginTest.spec.js","",""
"","2012","Validate Logout Functionality","webkit","2026-09-17","passed","2026-09-17","Product page validation","ProductPage.spec.js","",""
